Goals,Assists,PTS,Plus_Minus,Penalty Infraction Minutes,EV,PP,GW,Shots on Goal,Shooting Percentage,Shifts,Time on Ice (Minutes:Seconds),TOI
0,0,0,-1,2,0,0,0,6,0,22,22:24,1344
2,0,2,0,2,1,1,0,4,50,21,16:29,989
1,1,2,2,0,1,0,0,4,25,20,15:13,913
2,0,2,0,0,0,2,0,4,50,27,22:59,1379
0,0,0,-1,0,0,0,0,5,0,25,22:15,1335
0,1,1,1,2,0,0,0,6,0,22,19:43,1183
0,0,0,0,0,0,0,0,4,0,22,17:06,1026
1,0,1,-1,2,0,1,0,2,50,22,20:19,1219
1,1,2,-2,2,0,1,0,9,11.1,22,22:13,1333
2,1,3,1,2,1,1,0,11,18.2,24,22:14,1334
1,0,1,0,0,0,1,0,4,25,21,22:05,1325
1,0,1,1,4,1,0,0,8,12.5,20,20:03,1203
0,0,0,-3,0,0,0,0,6,0,22,17:19,1039
1,1,2,-1,2,1,0,1,4,25,21,20:58,1258
0,0,0,-1,2,0,0,0,8,0,22,21:40,1300
1,0,1,0,0,0,1,0,4,25,17,20:14,1214
2,1,3,0,0,2,0,0,7,28.6,22,23:13,1393
1,1,2,2,0,1,0,0,6,16.7,17,15:42,942
0,0,0,-1,0,0,0,0,5,0,22,22:50,1370
0,0,0,-2,0,0,0,0,3,0,23,19:49,1189
2,1,3,0,0,0,2,0,4,50,22,18:41,1121
1,0,1,0,0,0,1,0,5,20,25,24:28:00,1468
0,1,1,-1,0,0,0,0,3,0,23,24:38:00,1478
0,0,0,-1,2,0,0,0,7,0,24,21:28,1288
1,0,1,-2,0,1,0,1,6,16.7,24,20:55,1255
1,0,1,1,0,1,0,0,5,20,21,21:24,1284
2,0,2,2,0,2,0,1,5,40,21,19:40,1180
0,0,0,0,0,0,0,0,2,0,22,19:16,1156
2,0,2,0,2,1,1,0,5,40,21,20:23,1223
1,0,1,1,0,1,0,0,6,16.7,21,24:44:00,1484
0,1,1,-2,0,0,0,0,3,0,25,23:58,1438
0,0,0,0,0,0,0,0,5,0,21,24:04:00,1444
1,0,1,-1,0,1,0,1,7,14.3,20,20:27,1227
0,1,1,-2,2,0,0,0,4,0,21,19:03,1143
1,0,1,1,0,0,1,0,4,25,21,21:18,1278
0,0,0,0,2,0,0,0,4,0,20,20:02,1202
4,0,4,0,0,2,2,0,6,66.7,22,22:52,1372
0,0,0,-1,0,0,0,0,2,0,24,24:51:00,1491
1,1,2,0,2,1,0,0,6,16.7,28,25:08:00,1508
1,0,1,-1,0,0,1,0,4,25,19,19:23,1163
1,1,2,0,0,1,0,0,5,20,24,17:59,1079
1,0,1,0,2,1,0,0,5,20,23,18:37,1117
0,0,0,-1,0,0,0,0,5,0,21,22:57,1377
0,0,0,-1,2,0,0,0,7,0,23,19:58,1198
0,0,0,0,0,0,0,0,12,0,24,21:40,1300
0,0,0,-1,2,0,0,0,7,0,21,19:52,1192
1,0,1,0,2,1,0,0,9,11.1,25,19:25,1165
0,1,1,-2,2,0,0,0,7,0,21,21:24,1284
0,1,1,1,0,0,0,0,2,0,22,18:36,1116
1,1,2,1,0,1,0,0,5,20,19,21:22,1282
0,0,0,0,0,0,0,0,6,0,23,21:24,1284
1,0,1,1,0,1,0,0,3,33.3,25,18:32,1112
1,0,1,1,0,1,0,0,6,16.7,21,19:09,1149
0,0,0,-2,2,0,0,0,7,0,20,22:08,1328
1,0,1,-1,0,0,1,0,6,16.7,18,16:42,1002
1,1,2,3,0,1,0,1,6,16.7,20,22:41,1361
2,2,4,1,0,1,1,0,7,28.6,21,18:02,1082
0,0,0,-5,2,0,0,0,2,0,18,21:14,1274
0,2,2,0,0,0,0,0,6,0,23,20:11,1211
1,0,1,-1,0,0,1,1,5,20,24,24:05:00,1445
0,0,0,-1,0,0,0,0,3,0,20,24:56:00,1496
1,0,1,0,0,1,0,1,5,20,21,20:35,1235
0,1,1,2,0,0,0,0,4,0,19,20:48,1248
1,2,3,0,0,1,0,1,4,25,21,17:37,1057
2,0,2,-1,0,0,2,0,9,22.2,24,19:52,1192
